ClassID,UserID,ActivityID,SubmitTime,SelfCheck,SelfCheckDateTime
370,7821,13386,2021-03-19T13:13:25,NULL,NULL
370,7821,13389,2021-03-21T13:05:17,NULL,NULL
370,7821,13402,2021-03-14T12:30:29,NULL,NULL
370,7821,13403,2021-03-14T14:43:54,NULL,NULL
370,7821,13405,2021-03-13T11:47:42,NULL,NULL
370,7821,13407,2021-03-21T13:28:37,NULL,NULL
370,7821,13408,2021-03-21T13:54:15,NULL,NULL
370,7821,13410,2021-03-27T16:46:13,NULL,NULL
370,7821,13411,2021-04-04T10:00:47,NULL,NULL
370,7821,13415,2021-03-16T19:50:24,NULL,NULL
370,7821,13420,2021-04-04T10:47:24,NULL,NULL
370,7821,13422,2021-04-04T11:18:50,NULL,NULL
370,7821,13425,2021-03-22T23:03:15,NULL,NULL
370,7821,13426,2021-03-27T11:11:49,NULL,NULL
370,7821,13427,2021-03-27T11:41:53,NULL,NULL
370,7821,13428,2021-04-04T11:44:16,NULL,NULL
370,7821,13429,2021-04-07T23:05:51,NULL,NULL
370,7821,13431,2021-04-07T23:23:13,NULL,NULL
370,7821,13433,2021-05-25T19:30:54,NULL,NULL
370,7821,13436,2021-04-08T01:21:50,NULL,NULL
370,7821,13438,2021-05-25T20:46:04,NULL,NULL
370,7821,13442,2021-04-15T18:33:58,NULL,NULL
370,7821,13443,2021-04-28T20:07:38,NULL,NULL
370,7821,13445,2021-04-29T18:06:49,NULL,NULL
370,7821,13447,2021-05-29T13:09:16,NULL,NULL
370,7821,13451,2021-05-06T18:34:00,NULL,NULL
370,7821,13452,2021-05-29T13:28:18,NULL,NULL
370,7821,13453,2021-05-29T14:20:39,NULL,NULL
370,7821,13456,2021-04-29T18:30:30,NULL,NULL
370,7821,13459,2021-04-29T18:55:24,NULL,NULL
370,7821,13508,2021-03-13T14:43:54,NULL,NULL
370,7821,13509,2021-03-13T15:24:31,NULL,NULL
370,7821,13512,2021-03-13T17:09:42,NULL,NULL
370,7821,13514,2021-03-13T17:49:38,NULL,NULL
370,7821,13516,2021-03-13T18:49:54,NULL,NULL
370,7834,13384,2021-03-21T08:52:42,NULL,NULL
370,7834,13386,2021-03-22T18:35:50,NULL,NULL
370,7834,13389,2021-03-22T20:08:32,NULL,NULL
370,7834,13402,2021-03-21T09:50:42,NULL,NULL
370,7834,13403,2021-03-21T10:43:19,NULL,NULL
370,7834,13405,2021-03-13T13:22:26,NULL,NULL
370,7834,13407,2021-03-22T20:19:37,NULL,NULL
370,7834,13408,2021-03-22T20:42:41,NULL,NULL
370,7834,13410,2021-03-22T22:02:36,NULL,NULL
370,7834,13411,2021-04-02T14:04:18,NULL,NULL
370,7834,13415,2021-03-22T18:16:31,NULL,NULL
370,7834,13420,2021-03-30T13:28:12,NULL,NULL
370,7834,13422,2021-03-30T13:42:40,NULL,NULL
370,7834,13425,2021-03-22T21:16:31,NULL,NULL
370,7834,13426,2021-03-22T21:21:01,NULL,NULL
370,7834,13427,2021-03-22T21:26:39,NULL,NULL
370,7834,13428,2021-03-30T14:01:43,NULL,NULL
370,7834,13429,2021-03-30T14:14:54,NULL,NULL
370,7834,13431,2021-04-02T16:02:11,NULL,NULL
370,7834,13433,2021-04-02T17:21:14,NULL,NULL
370,7834,13438,2021-04-10T14:38:10,NULL,NULL
370,7834,13442,2021-04-10T16:14:04,NULL,NULL
370,7834,13443,2021-04-28T21:50:56,NULL,NULL
370,7834,13445,2021-04-18T13:21:24,NULL,NULL
370,7834,13447,2021-04-18T13:57:02,NULL,NULL
370,7834,13451,2021-04-28T21:50:07,NULL,NULL
370,7834,13452,2021-04-18T14:24:55,NULL,NULL
370,7834,13453,2021-04-28T21:51:36,NULL,NULL
370,7834,13456,2021-04-28T22:37:24,NULL,NULL
370,7834,13508,2021-03-13T14:11:33,NULL,NULL
370,7834,13509,2021-03-13T14:50:16,NULL,NULL
370,7834,13512,2021-03-13T15:18:32,NULL,NULL
370,7834,13514,2021-03-13T17:16:03,NULL,NULL
370,7834,13516,2021-03-13T17:37:01,NULL,NULL
370,7841,13384,2021-03-22T21:19:36,NULL,NULL
370,7841,13386,2021-03-24T20:05:38,NULL,NULL
370,7841,13389,2021-03-29T18:36:12,NULL,NULL
370,7841,13402,2021-03-22T22:55:09,NULL,NULL
370,7841,13403,2021-03-23T22:06:36,NULL,NULL
370,7841,13405,2021-03-15T18:41:06,NULL,NULL
370,7841,13407,2021-03-29T18:44:11,NULL,NULL
370,7841,13408,2021-03-29T18:52:13,NULL,NULL
370,7841,13410,2021-03-30T22:14:31,NULL,NULL
370,7841,13415,2021-03-23T22:31:16,NULL,NULL
370,7841,13420,2021-04-07T18:41:27,NULL,NULL
370,7841,13422,2021-04-07T21:33:07,NULL,NULL
370,7841,13425,2021-03-29T19:29:05,NULL,NULL
370,7841,13426,2021-03-29T19:34:10,NULL,NULL
370,7841,13427,2021-03-30T22:27:04,NULL,NULL
370,7841,13428,2021-04-14T20:42:33,NULL,NULL
370,7841,13429,2021-04-14T20:50:25,NULL,NULL
370,7841,13442,2021-05-24T10:15:24,NULL,NULL
370,7841,13508,2021-03-15T19:45:33,NULL,NULL
370,7841,13509,2021-03-17T20:26:26,NULL,NULL
370,7841,13512,2021-03-17T21:11:47,NULL,NULL
370,7841,13514,2021-03-17T21:51:54,NULL,NULL
370,7841,13516,2021-03-17T22:09:05,NULL,NULL
370,8048,13384,2021-03-15T10:43:19,NULL,NULL
370,8048,13386,2021-03-21T18:27:33,NULL,NULL
370,8048,13389,2021-03-28T13:55:03,NULL,NULL
370,8048,13402,2021-03-15T18:36:55,NULL,NULL
370,8048,13403,2021-03-15T19:12:25,NULL,NULL
370,8048,13405,2021-03-11T21:23:38,none,20:00.0
370,8048,13407,2021-03-28T12:12:47,NULL,NULL
370,8048,13408,2021-03-28T14:58:27,NULL,NULL
370,8048,13410,2021-03-28T17:09:07,NULL,NULL
370,8048,13411,2021-03-31T23:13:04,NULL,NULL
370,8048,13415,2021-03-15T20:15:02,NULL,NULL
370,8048,13420,2021-03-28T21:24:46,NULL,NULL
370,8048,13422,2021-04-06T22:47:51,NULL,NULL
370,8048,13425,2021-03-28T15:16:27,NULL,NULL
370,8048,13426,2021-03-28T16:02:25,NULL,NULL
