UserID,ActivityID,ActivityName,ActivityType,EntryTime(Timestamp),Duration,LeaveTime(Timestamp),LeaveTime(ISO),EntryTime(ISO)
8049,13505,计算平均气温,video,1.61551E+12,16,1.61551E+12,2021-03-12T08:51:48,2021-03-12T08:51:32
8049,13508,练习-计算行程费用,assignment,1.61551E+12,161,1.61551E+12,2021-03-12T08:54:30,2021-03-12T08:51:49
8049,13506,练习讲解-计算行程费用,video,1.61551E+12,365,1.61551E+12,2021-03-12T09:00:40,2021-03-12T08:54:35
8049,13507,控制输出格式,video,1.61551E+12,337,1.61551E+12,2021-03-12T09:06:25,2021-03-12T09:00:48
8049,13509,练习-控制输出格式,assignment,1.61551E+12,102,1.61551E+12,2021-03-12T09:08:10,2021-03-12T09:06:28
8332,13512,练习-计算总面积,assignment,1.61552E+12,775,1.61552E+12,2021-03-12T11:06:03,2021-03-12T10:53:08
8311,13505,计算平均气温,video,1.61554E+12,162,1.61554E+12,2021-03-12T16:25:03,2021-03-12T16:22:21
8311,13506,练习讲解-计算行程费用,video,1.61554E+12,267,1.61554E+12,2021-03-12T16:29:49,2021-03-12T16:25:22
8311,13507,控制输出格式,video,1.61554E+12,209,1.61554E+12,2021-03-12T16:33:21,2021-03-12T16:29:52
8311,13509,练习-控制输出格式,assignment,1.61554E+12,403,1.61554E+12,2021-03-12T16:40:12,2021-03-12T16:33:29
8311,13507,控制输出格式,video,1.61554E+12,119,1.61554E+12,2021-03-12T16:42:15,2021-03-12T16:40:16
8311,13509,练习-控制输出格式,assignment,1.61554E+12,320,1.61554E+12,2021-03-12T16:47:37,2021-03-12T16:42:17
8311,13507,控制输出格式,video,1.61554E+12,1381,1.61554E+12,2021-03-12T17:10:42,2021-03-12T16:47:41
8311,13509,练习-控制输出格式,assignment,1.61554E+12,137,1.61554E+12,2021-03-12T17:13:05,2021-03-12T17:10:48
8311,13509,练习-控制输出格式,assignment,1.61554E+12,28,1.61554E+12,2021-03-12T17:13:36,2021-03-12T17:13:08
8311,13510,练习讲解-身高的公/英制转换,video,1.61554E+12,269,1.61554E+12,2021-03-12T17:18:08,2021-03-12T17:13:39
8311,13511,不规则面积计算,video,1.61554E+12,361,1.61554E+12,2021-03-12T17:24:12,2021-03-12T17:18:11
8311,13512,练习-计算总面积,assignment,1.61554E+12,242,1.61554E+12,2021-03-12T17:28:23,2021-03-12T17:24:21
8311,13511,不规则面积计算,video,1.61554E+12,14,1.61554E+12,2021-03-12T17:28:43,2021-03-12T17:28:29
8311,13512,练习-计算总面积,assignment,1.61554E+12,910,1.61554E+12,2021-03-12T17:43:56,2021-03-12T17:28:46
8324,13513,BMI计算-从键盘输入,video,1.61555E+12,911,1.61556E+12,2021-03-12T21:29:50,2021-03-12T21:14:39
8324,13514,练习-外部输入,assignment,1.61556E+12,320,1.61556E+12,2021-03-12T22:13:24,2021-03-12T22:08:04
8324,13514,练习-外部输入,assignment,1.61556E+12,13,1.61556E+12,2021-03-12T22:13:43,2021-03-12T22:13:30
7834,13505,计算平均气温,video,1.61561E+12,10,1.61561E+12,2021-03-13T13:23:33,2021-03-13T13:23:23
7834,13505,计算平均气温,video,1.61561E+12,793,1.61561E+12,2021-03-13T13:46:45,2021-03-13T13:33:32
7834,13508,练习-计算行程费用,assignment,1.61561E+12,10,1.61561E+12,2021-03-13T13:47:03,2021-03-13T13:46:53
7834,13508,练习-计算行程费用,assignment,1.61561E+12,1458,1.61562E+12,2021-03-13T14:11:35,2021-03-13T13:47:17
